customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,clv,spend_category
7590-vhveg,female,0,1,0,1,0,no,dsl,no,yes,no,no,no,no,month-to-month,1,electronic check,29.85,29.85,0,29.85,low
5575-gnvde,male,0,0,0,34,1,no,dsl,yes,no,yes,no,no,no,one year,0,mailed check,56.95,1889.5,0,1936.3,medium
3668-qpybk,male,0,0,0,2,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,mailed check,53.85,108.15,1,107.7,medium
7795-cfocw,male,0,0,0,45,0,no,dsl,yes,no,yes,yes,no,no,one year,0,bank transfer (automatic),42.3,1840.75,0,1903.5,medium
9237-hqitu,female,0,0,0,2,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,70.7,151.65,1,141.4,high
9305-cdskc,female,0,0,0,8,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,99.65,820.5,1,797.2,high
1452-kiovk,male,0,0,1,22,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,1,credit card (automatic),89.1,1949.4,0,1960.2,high
6713-okomc,female,0,0,0,10,0,no,dsl,yes,no,no,no,no,no,month-to-month,0,mailed check,29.75,301.9,0,297.5,low
7892-pookp,female,0,1,0,28,1,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic check,104.8,3046.05,1,2934.4,very_high
6388-tabgu,male,0,0,1,62,1,no,dsl,yes,yes,no,no,no,no,one year,0,bank transfer (automatic),56.15,3487.95,0,3481.3,medium
9763-grskd,male,0,1,1,13,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,mailed check,49.95,587.45,0,649.35,medium
7469-lkbci,male,0,0,0,16,1,no,no,no,no,no,no,no,no,two year,0,credit card (automatic),18.95,326.8,0,303.2,low
8091-ttvax,male,0,1,0,58,1,yes,fiber optic,no,no,yes,no,yes,yes,one year,0,credit card (automatic),100.35,5681.1,0,5820.3,very_high
0280-xjgex,male,0,0,0,49,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),103.7,5036.3,1,5081.3,very_high
5129-jlpis,male,0,0,0,25,1,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,1,electronic check,105.5,2686.05,0,2637.5,very_high
3655-snqyz,female,0,1,1,69,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,0,credit card (automatic),113.25,7895.15,0,7814.25,very_high
8191-xwszg,female,0,0,0,52,1,no,no,no,no,no,no,no,no,one year,0,mailed check,20.65,1022.95,0,1073.8,low
9959-wofkt,male,0,0,1,71,1,yes,fiber optic,yes,no,yes,no,yes,yes,two year,0,bank transfer (automatic),106.7,7382.25,0,7575.7,very_high
4190-mfluw,female,0,1,1,10,1,no,dsl,no,no,yes,yes,no,no,month-to-month,0,credit card (automatic),55.2,528.35,1,552,medium
4183-myfrb,female,0,0,0,21,1,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,1,electronic check,90.05,1862.9,0,1891.05,high
8779-qrdmv,male,1,0,0,1,0,no,dsl,no,no,yes,no,no,yes,month-to-month,1,electronic check,39.65,39.65,1,39.65,medium
1680-vdcww,male,0,1,0,12,1,no,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),19.8,202.25,0,237.6,low
1066-jksgk,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.15,20.15,1,20.15,low
3638-weabw,female,0,1,0,58,1,yes,dsl,no,yes,no,yes,no,no,two year,1,credit card (automatic),59.9,3505.1,0,3474.2,medium
6322-hrpfa,male,0,1,1,49,1,no,dsl,yes,yes,no,yes,no,no,month-to-month,0,credit card (automatic),59.6,2970.3,0,2920.4,medium
6865-jznko,female,0,0,0,30,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,bank transfer (automatic),55.3,1530.6,0,1659,medium
6467-chfzw,male,0,1,1,47,1,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,99.35,4749.15,1,4669.45,high
8665-utdhz,male,0,1,1,1,0,no,dsl,no,yes,no,no,no,no,month-to-month,0,electronic check,30.2,30.2,1,30.2,medium
5248-ygijn,male,0,1,0,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),90.25,6369.45,0,6498,high
8773-hhuoz,female,0,0,1,17,1,no,dsl,no,no,no,no,yes,yes,month-to-month,1,mailed check,64.7,1093.1,1,1099.9,medium
3841-nfecx,female,1,1,0,71,1,yes,fiber optic,yes,yes,yes,yes,no,no,two year,1,credit card (automatic),96.35,6766.95,0,6840.85,high
4929-xihvw,male,1,1,0,2,1,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,credit card (automatic),95.5,181.65,0,191,high
6827-ieauq,female,0,1,1,27,1,no,dsl,yes,yes,yes,yes,no,no,one year,0,mailed check,66.15,1874.45,0,1786.05,medium
7310-egvhz,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),20.2,20.2,0,20.2,low
3413-bmnze,male,1,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),45.25,45.25,0,45.25,medium
6234-raapl,female,0,1,1,72,1,yes,fiber optic,yes,yes,no,yes,yes,no,two year,0,bank transfer (automatic),99.9,7251.7,0,7192.8,high
6047-yhpvi,male,0,0,0,5,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,69.7,316.9,1,348.5,medium
6572-adkrs,female,0,0,0,46,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,1,credit card (automatic),74.8,3548.3,0,3440.8,high
5380-wjkov,male,0,0,0,34,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic check,106.35,3549.25,1,3615.9,very_high
8168-uqwwf,female,0,0,0,11,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),97.85,1105.4,1,1076.35,high
8865-tnmnx,male,0,1,1,10,1,no,dsl,no,yes,no,no,no,no,one year,0,mailed check,49.55,475.7,0,495.5,medium
9489-dedvp,female,0,1,1,70,1,yes,dsl,yes,yes,no,no,yes,no,two year,1,credit card (automatic),69.2,4872.35,0,4844,medium
9867-jczsp,female,0,1,1,17,1,no,no,no,no,no,no,no,no,one year,0,mailed check,20.75,418.25,0,352.75,low
4671-vjlcl,female,0,0,0,63,1,yes,dsl,yes,yes,yes,yes,yes,no,two year,1,credit card (automatic),79.85,4861.45,0,5030.55,high
4080-iiard,female,0,1,0,13,1,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,1,electronic check,76.2,981.45,0,990.6,high
3714-ntnfo,female,0,0,0,49,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,84.5,3906.7,0,4140.5,high
5948-ujzlf,male,0,0,0,2,1,no,dsl,no,yes,no,no,no,no,month-to-month,0,mailed check,49.25,97,0,98.5,medium
7760-oypdy,female,0,0,0,2,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,80.65,144.15,1,161.3,high
7639-liayi,male,0,0,0,52,1,yes,dsl,yes,no,no,yes,yes,yes,two year,1,credit card (automatic),79.75,4217.8,0,4147,high
2954-pibko,female,0,1,1,69,1,yes,dsl,yes,no,yes,yes,no,no,two year,1,credit card (automatic),64.15,4254.1,0,4426.35,medium
8012-soudq,female,1,0,0,43,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,1,electronic check,90.25,3838.75,0,3880.75,high
9420-lojkx,female,0,0,0,15,1,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,1,credit card (automatic),99.1,1426.4,1,1486.5,high
